formula,bulk_modulus,shear_modulus,composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
Hf3(Cu2Si)2,148.1047722,80.16566411,Hf3 Cu4 Si2,14,72,58,40,21.333333333333332,29,45,78,33,60.77777777777778,10.518518518518517,64,28.0855,178.49,150.4045,93.98055555555555,56.33962962962963,63.546,1357.77,2506,1148.23,1813.6755555555555,461.54962962962964,1357.77,4,14,10,9.333333333333334,3.5555555555555554,11,3,6,3,4.444444444444445,1.0370370370370372,4,111,175,64,141.66666666666666,22.222222222222218,132,1.3,1.9,0.5999999999999999,1.7000000000000002,0.2666666666666665,1.9,1,2,1,1.5555555555555556,0.4938271604938272,1,0,2,2,0.4444444444444444,0.691358025,0,0,10,10,5.111111111111111,4.345679012,10,0,14,14,4.666666666666667,6.222222222222222,0,4,18,14,11.777777777777779,4.148148148148149,11,0,1,1,0.4444444444444444,0.4938271604938272,1,0,4,4,0.8888888888888888,1.382716049382716,0,0,8,8,2.6666666666666665,3.5555555555555554,0,0,0,0,0,0,0,1,8,7,4,2.6666666666666665,1,11.07,22.2,11.129999999999999,16.862222222222222,5.148641975308642,11.07,0,0.773,0.773,0.17177777777777778,0.2672098765432099,0,0,0,0,0,0,0,194,227,33,215.11111111111111,14.074074074074073,225
SrMg2N2,94.17109274,70.18994937,Sr1 Mg2 N2,7,38,31,15.2,9.12,7,8,82,74,61.6,21.44,68,14.0067,87.62,73.61330000000001,32.84868,21.908528,14.0067,63.05,1050,986.95,604.42,433.0960000000001,63.05,2,15,13,7.2,6.24,2,2,5,3,3,0.8,2,71,195,124,123.8,42.239999999999995,71,0.95,3.04,2.09,1.9300000000000002,0.8880000000000001,1.31,2,2,0,2,0,2,0,3,3,1.2,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,3.2,1.44,2,0,0,0,0,0,0,0,3,3,1.2,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1.2,1.44,0,14.76875,54.23,39.46124999999999,25.909499999999998,11.328199999999999,14.76875,0,6.437,6.437,2.5748,3.0897600000000005,0,0,0,0,0,0,0,194,225,31,200.2,9.919999999999993,194
Al2SiO5,141.2639498,88.57434358,Al2 Si1 O5,8,14,6,10,2.5,8,73,87,14,82.375,5.78125,87,15.9994,28.0855,12.0861,20.25569715,5.320371438,15.9994,54.8,1687,1632.2,478.4925,529.615625,54.8,13,16,3,15,1.25,16,2,3,1,2.375,0.46875,2,66,121,55,85.375,24.21875,66,1.61,3.44,1.8299999999999998,2.79,0.8125,3.44,2,2,0,2,0,2,1,4,3,3,1.25,4,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,5,1.25,6,0,0,0,0,0,0,2,5,3,3,1.25,2,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,3,1.25,2,9.105,20.44,11.335,12.365625000000001,4.07578125,9.105,0,0.773,0.773,0.096625,0.16909375000000001,0,0,0,0,0,0,0,12,227,215,92.125,100.15625,12
Sc4C3,111.8905692,66.47396374,Sc4 C3,6,21,15,14.571428571428571,7.346938775510204,21,11,77,66,39.285714285714285,32.326530612244895,11,12.0107,44.955912,32.945212,30.83653542857143,16.13643036734694,44.955912,1814,3823,2009,2675,984,1814,3,14,11,7.714285714285714,5.387755102040816,3,2,4,2,3.142857142857143,0.979591837,4,76,170,94,129.71428571428572,46.04081632653061,170,1.36,2.55,1.1899999999999997,1.8699999999999999,0.5828571428571427,1.36,2,2,0,2,0,2,0,2,2,0.8571428571428571,0.9795918367346939,0,0,1,1,0.5714285714285714,0.489795918,1,0,0,0,0,0,0,3,4,1,3.4285714285714284,0.4897959183673469,3,0,0,0,0,0,0,0,4,4,1.7142857142857142,1.9591836734693877,0,0,9,9,5.142857142857143,4.408163265306123,9,0,0,0,0,0,0,4,9,5,6.857142857142857,2.4489795918367347,9,5.64,22.235,16.595,15.122857142857143,8.128163265306123,22.235,0,4.496,4.496,1.926857142857143,2.202122448979592,0,0,6.35e-06,6.35e-06,3.6285714285714287e-06,3.110204081632653e-06,6.35e-06,194,194,0,194,0,194
Fe3PtN,214.1019895,100.2560151,Fe3 Pt1 N1,7,78,71,32.6,18.160000000000004,26,55,82,27,62,8.4,55,14.0067,195.084,181.0773,75.32514,47.903544000000004,55.845,63.05,2041.4,1978.3500000000001,1507.49,577.7760000000001,1811,8,15,7,9.8,2.16,8,2,6,4,4,0.8,4,71,136,65,120.6,19.840000000000003,132,1.83,3.04,1.21,2.162,0.3983999999999999,1.83,1,2,1,1.8,0.31999999999999995,2,0,3,3,0.6,0.96,0,0,9,9,5.4,2.1599999999999997,6,0,14,14,2.8,4.4799999999999995,0,5,24,19,10.6,5.359999999999999,8,0,1,1,0.2,0.32,0,0,3,3,0.6,0.96,0,0,4,4,2.6,1.6799999999999997,4,0,0,0,0,0,0,2,4,2,3.4,0.72,4,10.73,15.02,4.289999999999999,12.395749999999998,1.9988999999999995,10.73,0,6.437,6.437,1.2874,2.0598400000000003,0,0,2.1106628,2.1106628,1.26639768,1.0131181439999999,2.1106628,194,229,35,221.2,10.880000000000006,229
ScSiNi,132.3642028,71.96917012,Sc1 Si1 Ni1,14,28,14,21,4.666666666666667,14,11,78,67,50,26,11,28.0855,58.6934,30.607899999999997,43.91160399999999,10.550736000000002,28.0855,1687,1814,127,1743,47.333333333333336,1687,3,14,11,9,4,3,3,4,1,3.6666666666666665,0.4444444444444445,3,111,170,59,135,23.333333333333332,111,1.36,1.91,0.5499999999999998,1.7233333333333334,0.24222222222222212,1.36,2,2,0,2,0,2,0,2,2,0.6666666666666666,0.8888888888888888,0,0,8,8,3,3.3333333333333335,0,0,0,0,0,0,0,3,10,7,5.666666666666667,2.8888888888888893,3,0,0,0,0,0,0,0,4,4,1.3333333333333333,1.7777777777777777,0,0,9,9,3.6666666666666665,3.5555555555555554,0,0,0,0,0,0,0,2,9,7,5,2.6666666666666665,2,10.32,22.235,11.915,17.665,4.896666666666667,10.32,0,0.773,0.773,0.25766666666666665,0.3435555555555556,0,0,0.5953947,0.5953947,0.1984670166666667,0.2646184555555556,0,194,227,33,215.33333333333334,14.22222222222222,194
Fe3PdN,187.4804506,85.45882316,Fe3 Pd1 N1,7,46,39,26.2,7.919999999999999,26,55,82,27,61.8,8.16,55,14.0067,106.42,92.4133,57.59234,19.531064,55.845,63.05,1828.05,1765,1464.8200000000002,560.7079999999999,1811,8,15,7,9.8,2.16,8,2,5,3,3.8,0.7200000000000001,4,71,139,68,121.2,20.08,132,1.83,3.04,1.21,2.146,0.3792,1.83,0,2,2,1.6,0.6399999999999999,2,0,3,3,0.6,0.96,0,0,10,10,5.6,2.24,6,0,0,0,0,0,0,5,10,5,7.8,1.12,8,0,0,0,0,0,0,0,3,3,0.6,0.96,0,0,4,4,2.4,1.9200000000000004,4,0,0,0,0,0,0,0,4,4,3,1.2,4,10.73,14.76875,4.03875,12.273749999999998,1.8524999999999996,10.73,0,6.437,6.437,1.2874,2.0598400000000003,0,0,2.1106628,2.1106628,1.26639768,1.0131181439999999,2.1106628,194,229,35,221.2,10.880000000000006,229
As2PdO6,141.8141468,72.20957103,As2 Pd1 O6,8,46,38,17.77777777777778,13.037037037037038,8,62,87,25,83.55555555555556,4.7901234567901225,87,15.9994,106.42,90.42060000000001,39.13995555555555,30.854074074074074,15.9994,54.8,1828.05,1773.25,481.87222222222226,569.4296296296296,54.8,10,16,6,15.11111111111111,1.1851851851851853,16,2,5,3,2.7777777777777777,1.037037037037037,2,66,139,73,85.88888888888889,26.51851851851852,66,2.18,3.44,1.2599999999999998,3.0222222222222226,0.5570370370370369,3.44,0,2,2,1.7777777777777777,0.3950617283950618,2,0,4,4,3.3333333333333335,0.8888888888888888,4,0,10,10,3.3333333333333335,4.444444444444445,0,0,0,0,0,0,0,6,15,9,8.444444444444445,3.2592592592592595,6,0,0,0,0,0,0,0,3,3,2,0.4444444444444444,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0.4444444444444444,2,9.105,22.175,13.07,12.59888888888889,4.658518518518519,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,225,213,69.88888888888889,77.18518518518519,12
KNbO3,104.6154996,68.23878369,K1 Nb1 O3,8,41,33,16.8,10.559999999999999,8,3,87,84,62.2,29.76,87,15.9994,92.90638,76.90698,36.000576,24.0014112,15.9994,54.8,2750,2695.2,650.1859999999999,839.9256000000001,54.8,1,16,15,10.8,6.24,16,2,5,3,3,1.2,2,66,203,137,113,56.4,66,0.82,3.44,2.62,2.548,1.0704,3.44,1,2,1,1.6,0.48,2,0,4,4,2.4,1.9200000000000004,4,0,4,4,0.8,1.28,0,0,0,0,0,0,0,1,6,5,4.8,1.52,6,0,1,1,0.4,0.4800000000000001,0,0,2,2,1.2,0.9600000000000002,2,0,6,6,1.2,1.92,0,0,0,0,0,0,0,1,7,6,2.8,1.6799999999999997,2,9.105,73.10666667,64.00166666669999,23.72033333,19.75453333,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,229,217,98.8,104.16,12
NaWO3,191.2302956,77.30605157,Na1 W1 O3,8,74,66,21.8,20.880000000000003,8,2,87,85,62.8,29.04,87,15.9994,183.84,167.8406,50.96559386,53.149762457600005,15.9994,54.8,3695,3640.2,846.0539999999999,1139.5783999999999,54.8,1,16,15,11,6,16,2,6,4,3,1.2,2,66,166,100,105.2,47.04,66,0.93,3.44,2.51,2.722,0.8615999999999999,3.44,1,2,1,1.8,0.31999999999999995,2,0,4,4,2.4,1.9200000000000004,4,0,4,4,0.8,1.28,0,0,14,14,2.8,4.4799999999999995,0,1,20,19,7.8,4.88,6,0,1,1,0.2,0.32,0,0,2,2,1.2,0.9600000000000002,2,0,6,6,1.2,1.92,0,0,0,0,0,0,0,1,6,5,2.6,1.36,2,9.105,29.24333333,20.13833333,14.52166667,6.499999999991999,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,229,217,98.8,104.16,12
TiSi,145.859655,98.90324756,Ti1 Si1,14,22,8,18,4,14,43,78,35,60.5,17.5,43,28.0855,47.867,19.781499999999998,37.97625,9.890749999999999,28.0855,1687,1941,254,1814,127,1687,4,14,10,9,5,4,3,4,1,3.5,0.5,3,111,160,49,135.5,24.5,111,1.54,1.9,0.3599999999999999,1.72,0.17999999999999994,1.54,2,2,0,2,0,2,0,2,2,1,1,0,0,2,2,1,1,0,0,0,0,0,0,0,4,4,0,4,0,4,0,0,0,0,0,0,0,4,4,2,2,0,0,8,8,4,4,0,0,0,0,0,0,0,4,8,4,6,2,4,16.69,20.44,3.75,18.565,1.875,16.69,0,0.773,0.773,0.3865,0.3865,0,0,2.25333333333e-05,2.25333333333e-05,1.126666666665e-05,1.126666666665e-05,0,194,227,33,210.5,16.5,194
Nb3Si,184.1604687,73.69362288,Nb3 Si1,14,41,27,34.25,10.125,41,47,78,31,54.75,11.625,47,28.0855,92.90638,64.82088,76.70116,24.30783,92.90638,1687,2750,1063,2484.25,398.625,2750,5,14,9,7.25,3.375,5,3,5,2,4.5,0.75,5,111,164,53,150.75,19.875,164,1.6,1.9,0.2999999999999998,1.6750000000000003,0.11250000000000004,1.6,1,2,1,1.25,0.375,1,0,2,2,0.5,0.75,0,0,4,4,3,1.5,4,0,0,0,0,0,0,4,5,1,4.75,0.375,5,0,1,1,0.75,0.375,1,0,4,4,1,1.5,0,0,6,6,4.5,2.25,6,0,0,0,0,0,0,4,7,3,6.25,1.125,7,18.18,20.44,2.2600000000000016,18.745,0.8475,18.18,0,0.773,0.773,0.19325,0.289875,0,0,0,0,0,0,0,227,229,2,228.5,0.75,229
NiP2,144.5631542,97.73334375,Ni1 P2,15,28,13,19.333333333333332,5.777777777777778,15,61,83,22,75.66666666666667,9.777777777777777,83,30.973762,58.6934,27.719637999999996,40.213641333333335,12.31983911111111,30.973762,317.3,1728,1410.7,787.5333333333333,626.9777777777778,317.3,10,15,5,13.333333333333334,2.222222222222222,15,3,4,1,3.3333333333333335,0.4444444444444445,3,107,124,17,112.66666666666667,7.555555555555557,107,1.91,2.19,0.28,2.0966666666666667,0.12444444444444443,2.19,2,2,0,2,0,2,0,3,3,2,1.3333333333333333,3,0,8,8,2.6666666666666665,3.555555555555556,0,0,0,0,0,0,0,5,10,5,6.666666666666667,2.2222222222222223,5,0,0,0,0,0,0,0,3,3,2,1.3333333333333333,3,0,2,2,0.6666666666666666,0.888888889,0,0,0,0,0,0,0,2,3,1,2.6666666666666665,0.4444444444444445,3,10.32,22.5702381,12.2502381,18.4868254,5.4445502645333335,22.5702381,0,1.625,1.625,1.0833333333333333,0.7222222222222223,1.625,0,0.5953947,0.5953947,0.19846490000000003,0.26461986666666665,0,2,225,223,76.33333333333333,99.11111111111113,2
Nb4SiNi,190.5667352,99.10146827,Nb4 Si1 Ni1,14,41,27,34.333333333333336,8.888888888888888,41,47,78,31,54.5,10,47,28.0855,92.90638,64.82088,76.40073666666667,22.007524444444442,92.90638,1687,2750,1063,2402.5,463.3333333333333,2750,5,14,9,7.333333333333333,3.111111111111111,5,3,5,2,4.5,0.6666666666666666,5,111,164,53,148.5,20.666666666666668,164,1.6,1.91,0.30999999999999983,1.7016666666666669,0.13555555555555554,1.6,1,2,1,1.3333333333333333,0.4444444444444444,1,0,2,2,0.3333333333333333,0.5555555555555556,0,0,8,8,4,1.3333333333333333,4,0,0,0,0,0,0,4,10,6,5.666666666666667,1.4444444444444446,5,0,1,1,0.6666666666666666,0.4444444444444444,1,0,4,4,0.6666666666666666,1.1111111111111112,0,0,6,6,4.333333333333333,2.222222222222222,6,0,0,0,0,0,0,2,7,5,5.666666666666667,1.7777777777777777,7,10.32,20.44,10.120000000000001,17.246666666666666,2.308888888888889,18.18,0,0.773,0.773,0.12883333333333333,0.21472222222222223,0,0,0.5953947,0.5953947,0.09923245,0.16538741666666668,0,225,229,4,228,1.3333333333333333,229
Y(SiOs)2,166.3304752,84.67248177,Y1 Si2 Os2,14,76,62,43.8,25.76,14,12,78,66,56.4,17.759999999999998,57,28.0855,190.23,162.1445,105.10736999999999,68.09810399999999,28.0855,1687,3306,1619,2357,759.2,1687,3,14,11,9.4,3.6799999999999997,8,3,6,3,4.6,1.28,3,111,190,79,140,23.2,111,1.22,2.2,0.9800000000000002,1.884,0.2656000000000001,1.9,2,2,0,2,0,2,0,2,2,0.8,0.9600000000000002,0,0,6,6,2.6,2.72,0,0,14,14,5.6,6.719999999999999,0,3,22,19,11,8.8,4,0,0,0,0,0,0,0,4,4,1.6,1.9200000000000004,0,0,9,9,3.4,2.7199999999999998,0,0,0,0,0,0,0,4,9,5,5,1.6,4,14.09,32.365,18.275000000000002,20.285000000000004,4.956,14.09,0,0.773,0.773,0.30920000000000003,0.37104000000000004,0,0,0,0,0,0,0,194,227,33,207.2,15.839999999999998,194
SiRh,183.6093723,90.32704616,Si1 Rh1,14,45,31,29.5,15.5,14,59,78,19,68.5,9.5,59,28.0855,102.9055,74.82000000000001,65.4955,37.410000000000004,28.0855,1687,2237,550,1962,275,1687,9,14,5,11.5,2.5,9,3,5,2,4,1,3,111,142,31,126.5,15.5,111,1.9,2.28,0.3799999999999999,2.09,0.18999999999999995,1.9,1,2,1,1.5,0.5,1,0,2,2,1,1,0,0,8,8,4,4,0,0,0,0,0,0,0,4,9,5,6.5,2.5,4,0,1,1,0.5,0.5,0,0,4,4,2,2,0,0,2,2,1,1,0,0,0,0,0,0,0,3,4,1,3.5,0.5,3,13.64,20.44,6.800000000000001,17.04,3.4000000000000004,13.64,0,0.773,0.773,0.3865,0.3865,0,0,0,0,0,0,0,225,227,2,226,1,225
Ni3N,197.0205878,73.33594377,Ni3 N1,7,28,21,22.75,7.875,28,61,82,21,66.25,7.875,61,14.0067,58.6934,44.686699999999995,47.521724999999996,16.757512499999997,58.6934,63.05,1728,1664.95,1311.7625,624.35625,1728,10,15,5,11.25,1.875,10,2,4,2,3.5,0.75,4,71,124,53,110.75,19.875,124,1.91,3.04,1.1300000000000001,2.1925,0.42375,1.91,2,2,0,2,0,2,0,3,3,0.75,1.125,0,0,8,8,6,3,8,0,0,0,0,0,0,5,10,5,8.75,1.875,10,0,0,0,0,0,0,0,3,3,0.75,1.125,0,0,2,2,1.5,0.75,2,0,0,0,0,0,0,2,3,1,2.25,0.375,2,10.32,14.76875,4.44875,11.432187500000001,1.6682812500000006,10.32,0,6.437,6.437,1.60925,2.413875,0,0,0.5953947,0.5953947,0.44654602500000007,0.223273013,0.5953947,194,225,31,217.25,11.625,225
NbPSe,128.9919226,75.99038067,Nb1 P1 Se1,15,41,26,30,10,15,47,89,42,73,17.333333333333332,47,30.973762,92.90638,61.932618,67.61338066666667,24.42641244444444,30.973762,317.3,2750,2432.7,1187.1000000000001,1041.9333333333334,317.3,5,16,11,12,4.666666666666667,5,3,5,2,4,0.6666666666666666,3,107,164,57,130.33333333333334,22.444444444444446,107,1.6,2.55,0.9499999999999997,2.1133333333333333,0.34222222222222215,1.6,1,2,1,1.6666666666666667,0.4444444444444444,1,0,4,4,2.3333333333333335,1.5555555555555554,0,0,10,10,4.666666666666667,3.555555555555556,0,0,0,0,0,0,0,5,16,11,8.666666666666666,4.888888888888888,5,0,1,1,0.3333333333333333,0.4444444444444444,0,0,3,3,1.6666666666666667,1.111111111111111,0,0,6,6,2,2.6666666666666665,0,0,0,0,0,0,0,2,7,5,4,2,2,18.18,25.92,7.740000000000002,22.2234127,2.695608465600001,18.18,0,1.625,1.625,0.8079999999999999,0.5446666666666666,0,0,0,0,0,0,0,2,229,227,81.66666666666667,98.22222222222223,2
Zr2SnC,127.3390829,79.85333383,Zr2 Sn1 C1,6,50,44,34,14,40,44,80,36,61.25,17.25,44,12.0107,118.71,106.6993,78.292175,33.1407375,91.224,505.08,3823,3317.92,2146.02,838.49,2128,4,14,10,9,5,4,2,5,3,4.25,1.125,5,76,175,99,141.25,33.75,175,1.33,2.55,1.2199999999999998,1.7925,0.4624999999999999,1.33,2,2,0,2,0,2,0,2,2,1,1,0,0,10,10,3.5,3.25,2,0,0,0,0,0,0,4,14,10,6.5,3.75,4,0,0,0,0,0,0,0,4,4,2,2,0,0,8,8,4,4,8,0,0,0,0,0,0,4,8,4,6,2,8,5.64,33.285,27.644999999999996,21.32875,7.844374999999999,23.195,0,4.496,4.496,1.124,1.6860000000000002,0,0,0,0,0,0,0,141,194,53,180.75,19.875,194
MnCoSi,160.5532784,86.15638421,Mn1 Co1 Si1,14,27,13,22,5.333333333333333,14,52,78,26,62.666666666666664,10.222222222222221,52,28.0855,58.933195,30.847694999999998,47.318913333333334,12.822275555555555,28.0855,1519,1768,249,1658,92.66666666666667,1519,7,14,7,10,2.6666666666666665,7,3,4,1,3.6666666666666665,0.4444444444444445,3,111,139,28,125.33333333333333,9.555555555555557,111,1.55,1.9,0.34999999999999987,1.7766666666666666,0.15111111111111106,1.55,2,2,0,2,0,2,0,2,2,0.6666666666666666,0.888888889,0,0,7,7,4,2.6666666666666665,0,0,0,0,0,0,0,4,9,5,6.666666666666667,1.7777777777777777,4,0,0,0,0,0,0,0,4,4,1.3333333333333333,1.777777777777778,0,0,5,5,2.6666666666666665,1.777777777777778,0,0,0,0,0,0,0,3,5,2,4,0.6666666666666666,3,10.245,20.44,10.195000000000002,13.7241954,4.477203065133334,10.245,0,0.773,0.773,0.25766666666666665,0.3435555555555556,0,0,1.5484712,1.5484712,0.51626044,0.688140507,0,194,227,33,212.66666666666666,12.444444444444448,194
NiP2,106.1321936,67.2549583,Ni1 P2,15,28,13,19.333333333333332,5.777777777777778,15,61,83,22,75.66666666666667,9.777777777777777,83,30.973762,58.6934,27.719637999999996,40.213641333333335,12.31983911111111,30.973762,317.3,1728,1410.7,787.5333333333333,626.9777777777778,317.3,10,15,5,13.333333333333334,2.222222222222222,15,3,4,1,3.3333333333333335,0.4444444444444445,3,107,124,17,112.66666666666667,7.555555555555557,107,1.91,2.19,0.28,2.0966666666666667,0.12444444444444443,2.19,2,2,0,2,0,2,0,3,3,2,1.3333333333333333,3,0,8,8,2.6666666666666665,3.555555555555556,0,0,0,0,0,0,0,5,10,5,6.666666666666667,2.2222222222222223,5,0,0,0,0,0,0,0,3,3,2,1.3333333333333333,3,0,2,2,0.6666666666666666,0.888888889,0,0,0,0,0,0,0,2,3,1,2.6666666666666665,0.4444444444444445,3,10.32,22.5702381,12.2502381,18.4868254,5.4445502645333335,22.5702381,0,1.625,1.625,1.0833333333333333,0.7222222222222223,1.625,0,0.5953947,0.5953947,0.19846490000000003,0.26461986666666665,0,2,225,223,76.33333333333333,99.11111111111113,2
TiP,138.5425035,91.30219913,Ti1 P1,15,22,7,18.5,3.5,15,43,83,40,63,20,43,30.973762,47.867,16.893237999999997,39.420381,8.446618999999998,30.973762,317.3,1941,1623.7,1129.15,811.85,317.3,4,15,11,9.5,5.5,4,3,4,1,3.5,0.5,3,107,160,53,133.5,26.5,107,1.54,2.19,0.6499999999999999,1.865,0.32499999999999996,1.54,2,2,0,2,0,2,0,3,3,1.5,1.5,0,0,2,2,1,1,0,0,0,0,0,0,0,4,5,1,4.5,0.5,4,0,0,0,0,0,0,0,3,3,1.5,1.5,0,0,8,8,4,4,0,0,0,0,0,0,0,3,8,5,5.5,2.5,3,16.69,22.5702381,5.880238095199999,19.63011905,2.9401190475999996,16.69,0,1.625,1.625,0.8125,0.8125,0,0,2.25333333333e-05,2.25333333333e-05,1.126666666665e-05,1.126666666665e-05,0,2,194,192,98,96,2
ScSiRh,147.880502,73.89948864,Sc1 Si1 Rh1,14,45,31,26.666666666666668,12.222222222222223,14,11,78,67,49.333333333333336,25.555555555555554,11,28.0855,102.9055,74.82000000000001,58.64897066666666,29.50435288888889,28.0855,1687,2237,550,1912.6666666666667,216.22222222222226,1687,3,14,11,8.666666666666666,3.777777777777778,3,3,5,2,4,0.6666666666666666,3,111,170,59,141,20,111,1.36,2.28,0.9199999999999997,1.8466666666666665,0.32444444444444437,1.36,1,2,1,1.6666666666666667,0.4444444444444444,1,0,2,2,0.6666666666666666,0.8888888888888888,0,0,8,8,3,3.3333333333333335,0,0,0,0,0,0,0,3,9,6,5.333333333333333,2.444444444444444,3,0,1,1,0.3333333333333333,0.4444444444444445,0,0,4,4,1.3333333333333333,1.7777777777777777,0,0,9,9,3.6666666666666665,3.5555555555555554,0,0,0,0,0,0,0,3,9,6,5.333333333333333,2.444444444444444,3,13.64,22.235,8.594999999999999,18.771666666666665,3.4211111111111117,13.64,0,0.773,0.773,0.25766666666666665,0.3435555555555556,0,0,6.35e-06,6.35e-06,2.1166666666666666e-06,2.8222222222222223e-06,0,194,227,33,215.33333333333334,14.22222222222222,194
Ti3InC,144.9694784,91.59920346,Ti3 In1 C1,6,49,43,24.2,9.919999999999998,22,43,77,34,56.2,15.84,43,12.0107,114.818,102.8073,54.085939999999994,24.292824,47.867,429.75,3823,3393.25,2015.15,723.1400000000001,1941,4,14,10,7.8,4.56,4,2,5,3,3.8,0.7200000000000001,4,76,160,84,139.6,25.440000000000005,160,1.54,2.55,1.0099999999999998,1.7899999999999998,0.3039999999999998,1.54,2,2,0,2,0,2,0,2,2,0.6,0.72,0,0,10,10,3.2,2.72,2,0,0,0,0,0,0,4,13,9,5.8,2.88,4,0,0,0,0,0,0,0,5,5,1.8,2.16,0,0,8,8,4.8,3.8400000000000007,8,0,0,0,0,0,0,4,8,4,6.6,1.6800000000000002,8,5.64,24.26,18.62,15.994000000000003,4.141599999999999,16.69,0,4.496,4.496,0.8992000000000001,1.4387200000000002,0,0,2.25333333333e-05,2.25333333333e-05,1.351999999998e-05,1.0815999999984002e-05,2.25333333333e-05,139,194,55,183,17.6,194
